state_fips,state,edu_staff_total,year
72,PUERTO RICO,48820.0,2015
78,U.S. VIRGIN ISLANDS,2284.0,2015
1,ALABAMA,All Other Support Staff,2017
1,ALABAMA,Elementary School Counselors,2017
1,ALABAMA,Elementary Teachers,2017
1,ALABAMA,Instructional Coordinators and Supervisors to the Staff,2017
1,ALABAMA,Kindergarten Teachers,2017
1,ALABAMA,LEA Administrative Support Staff,2017
1,ALABAMA,LEA Administrators,2017
1,ALABAMA,Librarians/media specialists,2017
1,ALABAMA,Library/Media Support Staff,2017
1,ALABAMA,Missing,2017
1,ALABAMA,Paraprofessionals/Instructional Aides,2017
1,ALABAMA,Pre-kindergarten Teachers,2017
1,ALABAMA,School Administrative Support Staff,2017
1,ALABAMA,School administrators,2017
1,ALABAMA,School Counselors,2017
1,ALABAMA,Secondary School Counselors,2017
1,ALABAMA,Secondary Teachers,2017
1,ALABAMA,Student Support Services Staff,2017
1,ALABAMA,Ungraded Teachers,2017
1,ALABAMA,Guidance Counselors,2017
1,ALABAMA,LEA Staff,2017
1,ALABAMA,Other Staff,2017
1,ALABAMA,School Staff,2017
1,ALABAMA,Teachers,2017
1,ALABAMA,No Category Codes,2017
2,ALASKA,All Other Support Staff,2017
2,ALASKA,Elementary School Counselors,2017
2,ALASKA,Elementary Teachers,2017
2,ALASKA,Instructional Coordinators and Supervisors to the Staff,2017
2,ALASKA,Kindergarten Teachers,2017
2,ALASKA,LEA Administrative Support Staff,2017
2,ALASKA,LEA Administrators,2017
2,ALASKA,Librarians/media specialists,2017
2,ALASKA,Library/Media Support Staff,2017
2,ALASKA,Missing,2017
2,ALASKA,Paraprofessionals/Instructional Aides,2017
2,ALASKA,Pre-kindergarten Teachers,2017
2,ALASKA,School Administrative Support Staff,2017
2,ALASKA,School administrators,2017
2,ALASKA,School Counselors,2017
2,ALASKA,Secondary School Counselors,2017
2,ALASKA,Secondary Teachers,2017
2,ALASKA,Student Support Services Staff,2017
2,ALASKA,Guidance Counselors,2017
2,ALASKA,LEA Staff,2017
2,ALASKA,Other Staff,2017
2,ALASKA,School Staff,2017
2,ALASKA,Teachers,2017
2,ALASKA,No Category Codes,2017
4,ARIZONA,All Other Support Staff,2017
4,ARIZONA,Elementary School Counselors,2017
4,ARIZONA,Elementary Teachers,2017
4,ARIZONA,Instructional Coordinators and Supervisors to the Staff,2017
4,ARIZONA,Kindergarten Teachers,2017
4,ARIZONA,LEA Administrative Support Staff,2017
4,ARIZONA,LEA Administrators,2017
4,ARIZONA,Librarians/media specialists,2017
4,ARIZONA,Library/Media Support Staff,2017
4,ARIZONA,Missing,2017
4,ARIZONA,Paraprofessionals/Instructional Aides,2017
4,ARIZONA,Pre-kindergarten Teachers,2017
4,ARIZONA,School Administrative Support Staff,2017
4,ARIZONA,School administrators,2017
4,ARIZONA,School Counselors,2017
4,ARIZONA,Secondary School Counselors,2017
4,ARIZONA,Secondary Teachers,2017
4,ARIZONA,Student Support Services Staff,2017
4,ARIZONA,Guidance Counselors,2017
4,ARIZONA,LEA Staff,2017
4,ARIZONA,Other Staff,2017
4,ARIZONA,School Staff,2017
4,ARIZONA,Teachers,2017
4,ARIZONA,No Category Codes,2017
5,ARKANSAS,All Other Support Staff,2017
5,ARKANSAS,Elementary School Counselors,2017
5,ARKANSAS,Elementary Teachers,2017
5,ARKANSAS,Instructional Coordinators and Supervisors to the Staff,2017
5,ARKANSAS,Kindergarten Teachers,2017
5,ARKANSAS,LEA Administrative Support Staff,2017
5,ARKANSAS,LEA Administrators,2017
5,ARKANSAS,Librarians/media specialists,2017
5,ARKANSAS,Library/Media Support Staff,2017
5,ARKANSAS,Missing,2017
5,ARKANSAS,Paraprofessionals/Instructional Aides,2017
5,ARKANSAS,Pre-kindergarten Teachers,2017
5,ARKANSAS,School Administrative Support Staff,2017
5,ARKANSAS,School administrators,2017
5,ARKANSAS,School Counselors,2017
5,ARKANSAS,Secondary School Counselors,2017
5,ARKANSAS,Secondary Teachers,2017
5,ARKANSAS,Student Support Services Staff,2017
5,ARKANSAS,Ungraded Teachers,2017
5,ARKANSAS,Guidance Counselors,2017
5,ARKANSAS,LEA Staff,2017
5,ARKANSAS,Other Staff,2017
5,ARKANSAS,School Staff,2017
5,ARKANSAS,Teachers,2017
5,ARKANSAS,No Category Codes,2017
6,CALIFORNIA,All Other Support Staff,2017
6,CALIFORNIA,Elementary School Counselors,2017
6,CALIFORNIA,Elementary Teachers,2017
6,CALIFORNIA,Instructional Coordinators and Supervisors to the Staff,2017
6,CALIFORNIA,Kindergarten Teachers,2017
6,CALIFORNIA,LEA Administrative Support Staff,2017
6,CALIFORNIA,LEA Administrators,2017
6,CALIFORNIA,Librarians/media specialists,2017
6,CALIFORNIA,Library/Media Support Staff,2017
6,CALIFORNIA,Missing,2017
6,CALIFORNIA,Paraprofessionals/Instructional Aides,2017
6,CALIFORNIA,Pre-kindergarten Teachers,2017
6,CALIFORNIA,School Administrative Support Staff,2017
6,CALIFORNIA,School administrators,2017
6,CALIFORNIA,School Counselors,2017
6,CALIFORNIA,Secondary School Counselors,2017
6,CALIFORNIA,Secondary Teachers,2017
6,CALIFORNIA,Student Support Services Staff,2017
6,CALIFORNIA,Ungraded Teachers,2017
6,CALIFORNIA,Guidance Counselors,2017
6,CALIFORNIA,LEA Staff,2017
6,CALIFORNIA,Other Staff,2017
6,CALIFORNIA,School Staff,2017
6,CALIFORNIA,Teachers,2017
6,CALIFORNIA,No Category Codes,2017
8,COLORADO,All Other Support Staff,2017
8,COLORADO,Elementary School Counselors,2017
8,COLORADO,Elementary Teachers,2017
8,COLORADO,Instructional Coordinators and Supervisors to the Staff,2017
8,COLORADO,Kindergarten Teachers,2017
8,COLORADO,LEA Administrative Support Staff,2017
8,COLORADO,LEA Administrators,2017
8,COLORADO,Librarians/media specialists,2017
8,COLORADO,Library/Media Support Staff,2017
8,COLORADO,Missing,2017
8,COLORADO,Paraprofessionals/Instructional Aides,2017
8,COLORADO,Pre-kindergarten Teachers,2017
8,COLORADO,School Administrative Support Staff,2017
8,COLORADO,School administrators,2017
8,COLORADO,School Counselors,2017
8,COLORADO,Secondary School Counselors,2017
8,COLORADO,Secondary Teachers,2017
8,COLORADO,Student Support Services Staff,2017
8,COLORADO,Guidance Counselors,2017
8,COLORADO,LEA Staff,2017
8,COLORADO,Other Staff,2017
8,COLORADO,School Staff,2017
8,COLORADO,Teachers,2017
8,COLORADO,No Category Codes,2017
9,CONNECTICUT,All Other Support Staff,2017
9,CONNECTICUT,Elementary School Counselors,2017
9,CONNECTICUT,Elementary Teachers,2017
9,CONNECTICUT,Instructional Coordinators and Supervisors to the Staff,2017
9,CONNECTICUT,Kindergarten Teachers,2017
9,CONNECTICUT,LEA Administrative Support Staff,2017
9,CONNECTICUT,LEA Administrators,2017
9,CONNECTICUT,Librarians/media specialists,2017
9,CONNECTICUT,Library/Media Support Staff,2017
9,CONNECTICUT,Missing,2017
9,CONNECTICUT,Paraprofessionals/Instructional Aides,2017
9,CONNECTICUT,Pre-kindergarten Teachers,2017
9,CONNECTICUT,School Administrative Support Staff,2017
9,CONNECTICUT,School administrators,2017
9,CONNECTICUT,School Counselors,2017
9,CONNECTICUT,Secondary School Counselors,2017
9,CONNECTICUT,Secondary Teachers,2017
9,CONNECTICUT,Student Support Services Staff,2017
9,CONNECTICUT,Ungraded Teachers,2017
9,CONNECTICUT,Guidance Counselors,2017
9,CONNECTICUT,LEA Staff,2017
9,CONNECTICUT,Other Staff,2017
9,CONNECTICUT,School Staff,2017
9,CONNECTICUT,Teachers,2017
9,CONNECTICUT,No Category Codes,2017
10,DELAWARE,All Other Support Staff,2017
10,DELAWARE,Elementary School Counselors,2017
10,DELAWARE,Elementary Teachers,2017
10,DELAWARE,Instructional Coordinators and Supervisors to the Staff,2017
10,DELAWARE,Kindergarten Teachers,2017
10,DELAWARE,LEA Administrative Support Staff,2017
10,DELAWARE,LEA Administrators,2017
10,DELAWARE,Librarians/media specialists,2017
10,DELAWARE,Library/Media Support Staff,2017
10,DELAWARE,Missing,2017
10,DELAWARE,Paraprofessionals/Instructional Aides,2017
10,DELAWARE,Pre-kindergarten Teachers,2017
10,DELAWARE,School Administrative Support Staff,2017
10,DELAWARE,School administrators,2017
10,DELAWARE,School Counselors,2017
10,DELAWARE,Secondary School Counselors,2017
10,DELAWARE,Secondary Teachers,2017
10,DELAWARE,Student Support Services Staff,2017
10,DELAWARE,Guidance Counselors,2017
10,DELAWARE,LEA Staff,2017
10,DELAWARE,Other Staff,2017
10,DELAWARE,School Staff,2017
10,DELAWARE,Teachers,2017
10,DELAWARE,No Category Codes,2017
11,DISTRICT OF COLUMBIA,All Other Support Staff,2017
11,DISTRICT OF COLUMBIA,Elementary School Counselors,2017
11,DISTRICT OF COLUMBIA,Elementary Teachers,2017
11,DISTRICT OF COLUMBIA,Instructional Coordinators and Supervisors to the Staff,2017
11,DISTRICT OF COLUMBIA,Kindergarten Teachers,2017
11,DISTRICT OF COLUMBIA,LEA Administrative Support Staff,2017
11,DISTRICT OF COLUMBIA,LEA Administrators,2017
11,DISTRICT OF COLUMBIA,Librarians/media specialists,2017
11,DISTRICT OF COLUMBIA,Library/Media Support Staff,2017
11,DISTRICT OF COLUMBIA,Missing,2017
11,DISTRICT OF COLUMBIA,Paraprofessionals/Instructional Aides,2017
11,DISTRICT OF COLUMBIA,Pre-kindergarten Teachers,2017
11,DISTRICT OF COLUMBIA,School Administrative Support Staff,2017
11,DISTRICT OF COLUMBIA,School administrators,2017
11,DISTRICT OF COLUMBIA,School Counselors,2017
11,DISTRICT OF COLUMBIA,Secondary School Counselors,2017
11,DISTRICT OF COLUMBIA,Secondary Teachers,2017
11,DISTRICT OF COLUMBIA,Student Support Services Staff,2017
11,DISTRICT OF COLUMBIA,Ungraded Teachers,2017
11,DISTRICT OF COLUMBIA,Guidance Counselors,2017
11,DISTRICT OF COLUMBIA,LEA Staff,2017
11,DISTRICT OF COLUMBIA,Other Staff,2017
11,DISTRICT OF COLUMBIA,School Staff,2017
11,DISTRICT OF COLUMBIA,Teachers,2017
11,DISTRICT OF COLUMBIA,No Category Codes,2017
12,FLORIDA,All Other Support Staff,2017
12,FLORIDA,Elementary School Counselors,2017
12,FLORIDA,Elementary Teachers,2017
12,FLORIDA,Instructional Coordinators and Supervisors to the Staff,2017
12,FLORIDA,Kindergarten Teachers,2017
12,FLORIDA,LEA Administrative Support Staff,2017
12,FLORIDA,LEA Administrators,2017
12,FLORIDA,Librarians/media specialists,2017
12,FLORIDA,Library/Media Support Staff,2017
12,FLORIDA,Missing,2017
12,FLORIDA,Paraprofessionals/Instructional Aides,2017
12,FLORIDA,Pre-kindergarten Teachers,2017
12,FLORIDA,School Administrative Support Staff,2017
12,FLORIDA,School administrators,2017
12,FLORIDA,School Counselors,2017
12,FLORIDA,Secondary School Counselors,2017
12,FLORIDA,Secondary Teachers,2017
12,FLORIDA,Student Support Services Staff,2017
12,FLORIDA,Ungraded Teachers,2017
12,FLORIDA,Guidance Counselors,2017
12,FLORIDA,LEA Staff,2017
12,FLORIDA,Other Staff,2017
12,FLORIDA,School Staff,2017
12,FLORIDA,Teachers,2017
12,FLORIDA,No Category Codes,2017
13,GEORGIA,All Other Support Staff,2017
13,GEORGIA,Elementary School Counselors,2017
13,GEORGIA,Elementary Teachers,2017
13,GEORGIA,Instructional Coordinators and Supervisors to the Staff,2017
13,GEORGIA,Kindergarten Teachers,2017
13,GEORGIA,LEA Administrative Support Staff,2017
13,GEORGIA,LEA Administrators,2017
13,GEORGIA,Librarians/media specialists,2017
13,GEORGIA,Library/Media Support Staff,2017
13,GEORGIA,Missing,2017
13,GEORGIA,Paraprofessionals/Instructional Aides,2017
13,GEORGIA,Pre-kindergarten Teachers,2017
13,GEORGIA,School Administrative Support Staff,2017
13,GEORGIA,School administrators,2017
13,GEORGIA,School Counselors,2017
13,GEORGIA,Secondary School Counselors,2017
13,GEORGIA,Secondary Teachers,2017
13,GEORGIA,Student Support Services Staff,2017
13,GEORGIA,Ungraded Teachers,2017
13,GEORGIA,Guidance Counselors,2017
13,GEORGIA,LEA Staff,2017
13,GEORGIA,Other Staff,2017
13,GEORGIA,School Staff,2017
13,GEORGIA,Teachers,2017
13,GEORGIA,No Category Codes,2017
15,HAWAII,All Other Support Staff,2017
15,HAWAII,Elementary School Counselors,2017
15,HAWAII,Elementary Teachers,2017
15,HAWAII,Instructional Coordinators and Supervisors to the Staff,2017
15,HAWAII,Kindergarten Teachers,2017
15,HAWAII,LEA Administrative Support Staff,2017
15,HAWAII,LEA Administrators,2017
15,HAWAII,Librarians/media specialists,2017
15,HAWAII,Library/Media Support Staff,2017
15,HAWAII,Missing,2017
15,HAWAII,Paraprofessionals/Instructional Aides,2017
15,HAWAII,Pre-kindergarten Teachers,2017
15,HAWAII,School Administrative Support Staff,2017
15,HAWAII,School administrators,2017
15,HAWAII,School Counselors,2017
15,HAWAII,Secondary School Counselors,2017
15,HAWAII,Secondary Teachers,2017
15,HAWAII,Student Support Services Staff,2017
15,HAWAII,Ungraded Teachers,2017
15,HAWAII,Guidance Counselors,2017
15,HAWAII,LEA Staff,2017
15,HAWAII,Other Staff,2017
15,HAWAII,School Staff,2017
15,HAWAII,Teachers,2017
15,HAWAII,No Category Codes,2017
16,IDAHO,All Other Support Staff,2017
16,IDAHO,Elementary School Counselors,2017
16,IDAHO,Elementary Teachers,2017
16,IDAHO,Instructional Coordinators and Supervisors to the Staff,2017
16,IDAHO,Kindergarten Teachers,2017
16,IDAHO,LEA Administrative Support Staff,2017
16,IDAHO,LEA Administrators,2017
16,IDAHO,Librarians/media specialists,2017
16,IDAHO,Library/Media Support Staff,2017
16,IDAHO,Missing,2017
16,IDAHO,Paraprofessionals/Instructional Aides,2017
16,IDAHO,Pre-kindergarten Teachers,2017
16,IDAHO,School Administrative Support Staff,2017
16,IDAHO,School administrators,2017
16,IDAHO,School Counselors,2017
16,IDAHO,Secondary School Counselors,2017
16,IDAHO,Secondary Teachers,2017
16,IDAHO,Student Support Services Staff,2017
16,IDAHO,Guidance Counselors,2017
16,IDAHO,LEA Staff,2017
16,IDAHO,Other Staff,2017
16,IDAHO,School Staff,2017
16,IDAHO,Teachers,2017
16,IDAHO,No Category Codes,2017
17,ILLINOIS,All Other Support Staff,2017
17,ILLINOIS,Elementary School Counselors,2017
17,ILLINOIS,Elementary Teachers,2017
17,ILLINOIS,Instructional Coordinators and Supervisors to the Staff,2017
17,ILLINOIS,Kindergarten Teachers,2017
17,ILLINOIS,LEA Administrative Support Staff,2017
17,ILLINOIS,LEA Administrators,2017
17,ILLINOIS,Librarians/media specialists,2017
17,ILLINOIS,Library/Media Support Staff,2017
17,ILLINOIS,Missing,2017
17,ILLINOIS,Paraprofessionals/Instructional Aides,2017
17,ILLINOIS,Pre-kindergarten Teachers,2017
17,ILLINOIS,School Administrative Support Staff,2017
17,ILLINOIS,School administrators,2017
17,ILLINOIS,School Counselors,2017
17,ILLINOIS,Secondary School Counselors,2017
17,ILLINOIS,Secondary Teachers,2017
17,ILLINOIS,Student Support Services Staff,2017
17,ILLINOIS,Ungraded Teachers,2017
17,ILLINOIS,Guidance Counselors,2017
17,ILLINOIS,LEA Staff,2017
17,ILLINOIS,Other Staff,2017
17,ILLINOIS,School Staff,2017
17,ILLINOIS,Teachers,2017
17,ILLINOIS,No Category Codes,2017
18,INDIANA,All Other Support Staff,2017
18,INDIANA,Elementary School Counselors,2017
18,INDIANA,Elementary Teachers,2017
18,INDIANA,Instructional Coordinators and Supervisors to the Staff,2017
18,INDIANA,Kindergarten Teachers,2017
18,INDIANA,LEA Administrative Support Staff,2017
18,INDIANA,LEA Administrators,2017
18,INDIANA,Librarians/media specialists,2017
18,INDIANA,Library/Media Support Staff,2017
18,INDIANA,Missing,2017
18,INDIANA,Paraprofessionals/Instructional Aides,2017
18,INDIANA,Pre-kindergarten Teachers,2017
18,INDIANA,School Administrative Support Staff,2017
18,INDIANA,School administrators,2017
18,INDIANA,School Counselors,2017
18,INDIANA,Secondary School Counselors,2017
18,INDIANA,Secondary Teachers,2017
18,INDIANA,Student Support Services Staff,2017
18,INDIANA,Ungraded Teachers,2017
18,INDIANA,Guidance Counselors,2017
18,INDIANA,LEA Staff,2017
18,INDIANA,Other Staff,2017
18,INDIANA,School Staff,2017
18,INDIANA,Teachers,2017
18,INDIANA,No Category Codes,2017
19,IOWA,All Other Support Staff,2017
19,IOWA,Elementary School Counselors,2017
19,IOWA,Elementary Teachers,2017
19,IOWA,Instructional Coordinators and Supervisors to the Staff,2017
19,IOWA,Kindergarten Teachers,2017
19,IOWA,LEA Administrative Support Staff,2017
19,IOWA,LEA Administrators,2017
19,IOWA,Librarians/media specialists,2017
19,IOWA,Library/Media Support Staff,2017
19,IOWA,Missing,2017
19,IOWA,Paraprofessionals/Instructional Aides,2017
19,IOWA,Pre-kindergarten Teachers,2017
19,IOWA,School Administrative Support Staff,2017
19,IOWA,School administrators,2017
19,IOWA,School Counselors,2017
19,IOWA,Secondary School Counselors,2017
19,IOWA,Secondary Teachers,2017
19,IOWA,Student Support Services Staff,2017
19,IOWA,Guidance Counselors,2017
19,IOWA,LEA Staff,2017
19,IOWA,Other Staff,2017
19,IOWA,School Staff,2017
19,IOWA,Teachers,2017
19,IOWA,No Category Codes,2017
20,KANSAS,All Other Support Staff,2017
20,KANSAS,Elementary School Counselors,2017
20,KANSAS,Elementary Teachers,2017
20,KANSAS,Instructional Coordinators and Supervisors to the Staff,2017
20,KANSAS,Kindergarten Teachers,2017
20,KANSAS,LEA Administrative Support Staff,2017
20,KANSAS,LEA Administrators,2017
20,KANSAS,Librarians/media specialists,2017
20,KANSAS,Library/Media Support Staff,2017
20,KANSAS,Missing,2017
20,KANSAS,Paraprofessionals/Instructional Aides,2017
20,KANSAS,Pre-kindergarten Teachers,2017
20,KANSAS,School Administrative Support Staff,2017
20,KANSAS,School administrators,2017
20,KANSAS,School Counselors,2017
20,KANSAS,Secondary School Counselors,2017
20,KANSAS,Secondary Teachers,2017
20,KANSAS,Student Support Services Staff,2017
20,KANSAS,Guidance Counselors,2017
20,KANSAS,LEA Staff,2017
20,KANSAS,Other Staff,2017
20,KANSAS,School Staff,2017
20,KANSAS,Teachers,2017
20,KANSAS,No Category Codes,2017
21,KENTUCKY,All Other Support Staff,2017
21,KENTUCKY,Elementary School Counselors,2017
21,KENTUCKY,Elementary Teachers,2017
21,KENTUCKY,Instructional Coordinators and Supervisors to the Staff,2017
21,KENTUCKY,Kindergarten Teachers,2017
21,KENTUCKY,LEA Administrative Support Staff,2017
21,KENTUCKY,LEA Administrators,2017
21,KENTUCKY,Librarians/media specialists,2017
21,KENTUCKY,Library/Media Support Staff,2017
21,KENTUCKY,Missing,2017
21,KENTUCKY,Paraprofessionals/Instructional Aides,2017
21,KENTUCKY,Pre-kindergarten Teachers,2017
21,KENTUCKY,School Administrative Support Staff,2017
21,KENTUCKY,School administrators,2017
21,KENTUCKY,School Counselors,2017
21,KENTUCKY,Secondary School Counselors,2017
21,KENTUCKY,Secondary Teachers,2017
21,KENTUCKY,Student Support Services Staff,2017
21,KENTUCKY,Ungraded Teachers,2017
21,KENTUCKY,Guidance Counselors,2017
21,KENTUCKY,LEA Staff,2017
21,KENTUCKY,Other Staff,2017
21,KENTUCKY,School Staff,2017
21,KENTUCKY,Teachers,2017
21,KENTUCKY,No Category Codes,2017
22,LOUISIANA,All Other Support Staff,2017
22,LOUISIANA,Elementary School Counselors,2017
22,LOUISIANA,Elementary Teachers,2017
22,LOUISIANA,Instructional Coordinators and Supervisors to the Staff,2017
22,LOUISIANA,Kindergarten Teachers,2017
22,LOUISIANA,LEA Administrative Support Staff,2017
22,LOUISIANA,LEA Administrators,2017
22,LOUISIANA,Librarians/media specialists,2017
22,LOUISIANA,Library/Media Support Staff,2017
22,LOUISIANA,Missing,2017
22,LOUISIANA,Paraprofessionals/Instructional Aides,2017
22,LOUISIANA,Pre-kindergarten Teachers,2017
22,LOUISIANA,School Administrative Support Staff,2017
22,LOUISIANA,School administrators,2017
22,LOUISIANA,School Counselors,2017
22,LOUISIANA,Secondary School Counselors,2017
22,LOUISIANA,Secondary Teachers,2017
22,LOUISIANA,Student Support Services Staff,2017
22,LOUISIANA,Guidance Counselors,2017
22,LOUISIANA,LEA Staff,2017
22,LOUISIANA,Other Staff,2017
22,LOUISIANA,School Staff,2017
22,LOUISIANA,Teachers,2017
22,LOUISIANA,No Category Codes,2017
23,MAINE,All Other Support Staff,2017
23,MAINE,Elementary School Counselors,2017
23,MAINE,Elementary Teachers,2017
23,MAINE,Instructional Coordinators and Supervisors to the Staff,2017
23,MAINE,Kindergarten Teachers,2017
23,MAINE,LEA Administrative Support Staff,2017
23,MAINE,LEA Administrators,2017
23,MAINE,Librarians/media specialists,2017
23,MAINE,Library/Media Support Staff,2017
23,MAINE,Missing,2017
23,MAINE,Paraprofessionals/Instructional Aides,2017
23,MAINE,Pre-kindergarten Teachers,2017
23,MAINE,School Administrative Support Staff,2017
23,MAINE,School administrators,2017
23,MAINE,School Counselors,2017
23,MAINE,Secondary School Counselors,2017
23,MAINE,Secondary Teachers,2017
23,MAINE,Student Support Services Staff,2017
23,MAINE,Guidance Counselors,2017
23,MAINE,LEA Staff,2017
23,MAINE,Other Staff,2017
23,MAINE,School Staff,2017
23,MAINE,Teachers,2017
23,MAINE,No Category Codes,2017
24,MARYLAND,All Other Support Staff,2017
24,MARYLAND,Elementary School Counselors,2017
24,MARYLAND,Elementary Teachers,2017
24,MARYLAND,Instructional Coordinators and Supervisors to the Staff,2017
24,MARYLAND,Kindergarten Teachers,2017
24,MARYLAND,LEA Administrative Support Staff,2017
24,MARYLAND,LEA Administrators,2017
24,MARYLAND,Librarians/media specialists,2017
24,MARYLAND,Library/Media Support Staff,2017
24,MARYLAND,Missing,2017
24,MARYLAND,Paraprofessionals/Instructional Aides,2017
24,MARYLAND,Pre-kindergarten Teachers,2017
24,MARYLAND,School Administrative Support Staff,2017
24,MARYLAND,School administrators,2017
24,MARYLAND,School Counselors,2017
24,MARYLAND,Secondary School Counselors,2017
24,MARYLAND,Secondary Teachers,2017
24,MARYLAND,Student Support Services Staff,2017
24,MARYLAND,Guidance Counselors,2017
24,MARYLAND,LEA Staff,2017
24,MARYLAND,Other Staff,2017
24,MARYLAND,School Staff,2017
24,MARYLAND,Teachers,2017
24,MARYLAND,No Category Codes,2017
25,MASSACHUSETTS,All Other Support Staff,2017
25,MASSACHUSETTS,Elementary School Counselors,2017
25,MASSACHUSETTS,Elementary Teachers,2017
25,MASSACHUSETTS,Instructional Coordinators and Supervisors to the Staff,2017
25,MASSACHUSETTS,Kindergarten Teachers,2017
25,MASSACHUSETTS,LEA Administrative Support Staff,2017
25,MASSACHUSETTS,LEA Administrators,2017
25,MASSACHUSETTS,Librarians/media specialists,2017
25,MASSACHUSETTS,Library/Media Support Staff,2017
25,MASSACHUSETTS,Missing,2017
25,MASSACHUSETTS,Paraprofessionals/Instructional Aides,2017
25,MASSACHUSETTS,Pre-kindergarten Teachers,2017
25,MASSACHUSETTS,School Administrative Support Staff,2017
25,MASSACHUSETTS,School administrators,2017
25,MASSACHUSETTS,School Counselors,2017
25,MASSACHUSETTS,Secondary School Counselors,2017
25,MASSACHUSETTS,Secondary Teachers,2017
25,MASSACHUSETTS,Student Support Services Staff,2017
25,MASSACHUSETTS,Ungraded Teachers,2017
25,MASSACHUSETTS,Guidance Counselors,2017
25,MASSACHUSETTS,LEA Staff,2017
25,MASSACHUSETTS,Other Staff,2017
25,MASSACHUSETTS,School Staff,2017
25,MASSACHUSETTS,Teachers,2017
25,MASSACHUSETTS,No Category Codes,2017
26,MICHIGAN,All Other Support Staff,2017
26,MICHIGAN,Elementary School Counselors,2017
26,MICHIGAN,Elementary Teachers,2017
26,MICHIGAN,Instructional Coordinators and Supervisors to the Staff,2017
26,MICHIGAN,Kindergarten Teachers,2017
26,MICHIGAN,LEA Administrative Support Staff,2017
26,MICHIGAN,LEA Administrators,2017
26,MICHIGAN,Librarians/media specialists,2017
26,MICHIGAN,Library/Media Support Staff,2017
26,MICHIGAN,Missing,2017
26,MICHIGAN,Paraprofessionals/Instructional Aides,2017
26,MICHIGAN,Pre-kindergarten Teachers,2017
26,MICHIGAN,School Administrative Support Staff,2017
26,MICHIGAN,School administrators,2017
26,MICHIGAN,School Counselors,2017
26,MICHIGAN,Secondary School Counselors,2017
26,MICHIGAN,Secondary Teachers,2017
26,MICHIGAN,Student Support Services Staff,2017
26,MICHIGAN,Ungraded Teachers,2017
26,MICHIGAN,Guidance Counselors,2017
26,MICHIGAN,LEA Staff,2017
26,MICHIGAN,Other Staff,2017
26,MICHIGAN,School Staff,2017
26,MICHIGAN,Teachers,2017
26,MICHIGAN,No Category Codes,2017
27,MINNESOTA,All Other Support Staff,2017
27,MINNESOTA,Elementary School Counselors,2017
27,MINNESOTA,Elementary Teachers,2017
27,MINNESOTA,Instructional Coordinators and Supervisors to the Staff,2017
27,MINNESOTA,Kindergarten Teachers,2017
27,MINNESOTA,LEA Administrative Support Staff,2017
27,MINNESOTA,LEA Administrators,2017
27,MINNESOTA,Librarians/media specialists,2017
27,MINNESOTA,Library/Media Support Staff,2017
27,MINNESOTA,Missing,2017
27,MINNESOTA,Paraprofessionals/Instructional Aides,2017
27,MINNESOTA,Pre-kindergarten Teachers,2017
27,MINNESOTA,School Administrative Support Staff,2017
27,MINNESOTA,School administrators,2017
27,MINNESOTA,School Counselors,2017
27,MINNESOTA,Secondary School Counselors,2017
27,MINNESOTA,Secondary Teachers,2017
27,MINNESOTA,Student Support Services Staff,2017
27,MINNESOTA,Ungraded Teachers,2017
